PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
MEDICAMENT s.r.o.;Ždaňa;Košický kraj;Okres Košice - okolie;MEDICAMENT s.r.o.;0,00;0,00;;;;
HEALTH CENTRUM s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;HEALTH CENTRUM s.r.o.;0,00;0,00;;;;
ELIXIRPHARM, s.r.o.;Spišská Nová Ves;Košický kraj;Okres Spišská Nová Ves;ELIXIRPHARM, s.r.o.;0,00;0,00;;;;
ARTKE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;ARTKE s.r.o.;0,00;0,00;;;;
Lekáreň 16, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň 16, s.r.o.;2 980,00;0,00;300,00;2 680,00;;
Lekáreň 17, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Lekáreň 17, s. r. o.;11 002,69;0,00;1 400,00;9 602,69;;
Lekáreň 18, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň 18, s.r.o.;0,00;0,00;;;;
GREEN-MARKET s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;GREEN-MARKET s.r.o.;0,00;0,00;;;;
RED-DROP s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;RED-DROP s.r.o.;0,00;0,00;;;;
EXPIRO s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;EXPIRO s.r.o.;0,00;0,00;;;;
STADUS s.r.o.;Spišská Nová Ves;Košický kraj;Okres Spišská Nová Ves;STADUS s.r.o.;0,00;0,00;;;;
Pharmacy-Market s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Pharmacy-Market s.r.o.;0,00;0,00;;;;
RED-MARKET s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;RED-MARKET s.r.o.;0,00;0,00;;;;
GREEN-DROP s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;GREEN-DROP s.r.o.;0,00;0,00;;;;
MOONLINE s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;MOONLINE s.r.o.;0,00;0,00;;;;
GREEN-ROAD s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;GREEN-ROAD s.r.o.;0,00;0,00;;;;
IMMUNO-PHARMA s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;IMMUNO-PHARMA s.r.o.;0,00;0,00;;;;
IMMUNO-STAR s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;IMMUNO-STAR s.r.o.;0,00;0,00;;;;
GREEN-STRAP s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;GREEN-STRAP s.r.o.;0,00;0,00;;;;
FIRST-STORE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;FIRST-STORE s.r.o.;0,00;0,00;;;;
NATURAL-DROP s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;NATURAL-DROP s.r.o.;0,00;0,00;;;;
BODY-STAR s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;BODY-STAR s.r.o.;0,00;0,00;;;;
RED - STORE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;RED - STORE s.r.o.;0,00;0,00;;;;
PILL MARKET s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;PILL MARKET s.r.o.;0,00;0,00;;;;
DRUG-CITY s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;DRUG-CITY s.r.o.;0,00;0,00;;;;
PILL-STORE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;PILL-STORE s.r.o.;0,00;0,00;;;;
BLUE-STRAP s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BLUE-STRAP s.r.o.;0,00;0,00;;;;
Natural-Market s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Natural-Market s.r.o.;0,00;0,00;;;;
BLUE-STORE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BLUE-STORE s.r.o.;0,00;0,00;;;;
SI PHARMA, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SI PHARMA, s.r.o.;0,00;0,00;;;;
Lekáreň Na sídlisku Mier, s.r.o.;Spišská Nová Ves;Košický kraj;Okres Spišská Nová Ves;Lekáreň Na sídlisku Mier, s.r.o.;0,00;0,00;;;;
Lekáreň 20, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň 20, s.r.o.;4 980,00;0,00;1 680,00;3 300,00;;
SOLANUM, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SOLANUM, s.r.o.;0,00;0,00;;;;
KALT, s.r.o.;Košice - Staré Mesto;Košický kraj;Okres Košice I;KALT, s.r.o.;0,00;0,00;;;;
SECRETEX s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SECRETEX s.r.o.;0,00;0,00;;;;
MONIQ s. r. o.;Košice - Západ;Košický kraj;Okres Košice II;MONIQ s. r. o.;0,00;0,00;;;;
VERBO s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;VERBO s.r.o.;0,00;0,00;;;;
Lekáreň sv. Agáty, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň sv. Agáty, s.r.o.;0,00;0,00;;;;
BUTYKS s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BUTYKS s.r.o.;0,00;0,00;;;;
BORSI, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;BORSI, s.r.o.;0,00;0,00;;;;
TEMPEL, s. r. o.;Košice - Západ;Košický kraj;Okres Košice II;TEMPEL, s. r. o.;0,00;0,00;;;;
TORNA, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;TORNA, s. r. o.;0,00;0,00;;;;
Needham s. r. o.;Košice - Západ;Košický kraj;Okres Košice II;Needham s. r. o.;0,00;0,00;;;;
Medijoma;Strážske;Košický kraj;Okres Michalovce;Medijoma;0,00;0,00;;;;
Hillrose s.r.o.;Košice - Vyšné Opátske;Košický kraj;Okres Košice IV;Hillrose s.r.o.;0,00;0,00;;;;
TIMPHU s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;TIMPHU s.r.o.;0,00;0,00;;;;
COOL LIFE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;COOL LIFE s.r.o.;0,00;0,00;;;;
SAVE LIFE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SAVE LIFE s.r.o.;0,00;0,00;;;;
STRONG LIFE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;STRONG LIFE s.r.o.;0,00;0,00;;;;
MEDECINE s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;MEDECINE s.r.o.;0,00;0,00;;;;
NEW - FIRST s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;NEW - FIRST s.r.o.;0,00;0,00;;;;
Dr.Max 19 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 19 s.r.o.;0,00;0,00;;;;
Dr.Max 23 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 23 s.r.o.;1 020,00;0,00;;1 020,00;;
Dr.Max 21 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 21 s.r.o.;0,00;0,00;;;;
Dr.Max 18 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 18 s.r.o.;0,00;0,00;;;;
Dr.Max 13 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 13 s.r.o.;0,00;0,00;;;;
Dr.Max 7 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 7 s.r.o.;9 340,00;0,00;;9 340,00;;
Dr.Max 14 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 14 s.r.o.;0,00;0,00;;;;
Dr. Max 17 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 17 s.r.o.;0,00;0,00;;;;
Dr.Max 9 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 9 s.r.o.;4 200,00;0,00;;4 200,00;;
Dr.Max 10 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 10 s.r.o.;1 350,00;0,00;;1 350,00;;
Dr.Max 8 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 8 s.r.o.;2 640,00;;;2 640,00;;
Dr.Max 22 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 22 s.r.o.;1 489,30;;;;;1 489,30
Dr.Max 5 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 5 s.r.o.;0,00;0,00;;;;
Dr.Max 12 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 12 s.r.o.;0,00;0,00;;;;
Dr.Max 6 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 6 s.r.o.;0,00;0,00;;;;
Dr.Max 4 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 4 s.r.o.;0,00;0,00;;;;
Dr.Max 3 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 3 s.r.o.;0,00;0,00;;;;
Dr.Max 26;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 26;0,00;0,00;;;;
Dr.Max 2 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 2 s.r.o.;0,00;0,00;;;;
Dr.Max 30 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 30 s.r.o.;0,00;0,00;;;;
Dr. Max 1 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 1 s.r.o.;0,00;0,00;;;;
Dr.Max 27 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 27 s.r.o.;0,00;0,00;;;;
Dr.Max 25 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 25 s.r.o.;0,00;0,00;;;;
Dr.Max 29 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 29 s.r.o.;0,00;0,00;;;;
SD1 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD1 s.r.o.;0,00;0,00;;;;
SD23 s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;SD23 s. r. o.;0,00;0,00;;;;
SD3 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD3 s.r.o.;8 300,00;0,00;1 300,00;7 000,00;;
SD4 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD4 s.r.o.;4 150,00;0,00;;4 150,00;;
SD5 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD5 s.r.o.;600,00;0,00;600,00;;;
SD33 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD33 s.r.o.;0,00;0,00;;;;
SD31 s. r. o.;Košice - Západ;Košický kraj;Okres Košice II;SD31 s. r. o.;0,00;0,00;;;;
SD26 s.r.o;Košice - Juh;Košický kraj;Okres Košice IV;SD26 s.r.o;0,00;0,00;;;;
SD25 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD25 s.r.o.;900,00;0,00;;900,00;;
SD29 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD29 s.r.o.;0,00;0,00;;;;
SD30 s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;SD30 s. r. o.;0,00;0,00;;;;
SD6 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD6 s.r.o.;0,00;0,00;;;;
SD7 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD7 s.r.o.;0,00;0,00;;;;
SD10 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD10 s.r.o.;7 800,00;0,00;;7 800,00;;
SD12 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD12 s.r.o.;240,00;0,00;;240,00;;
SD13 s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;SD13 s. r. o.;0,00;0,00;;;;
SD14 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;SD14 s.r.o.;2 400,00;0,00;;2 400,00;;
JAWEX s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;JAWEX s.r.o.;0,00;0,00;;;;
PHARMACY III, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;PHARMACY III, s.r.o.;0,00;0,00;;;;
PHARMACY X, s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;PHARMACY X, s. r. o.;0,00;0,00;;;;
PHARMACY XIV, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;PHARMACY XIV, s.r.o.;0,00;0,00;;;;
Centraleuropean Biotech Institute s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Centraleuropean Biotech Institute s. r. o.;0,00;0,00;;;;
Ferox s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Ferox s.r.o.;1 800,00;0,00;;1 800,00;;
Omrvinka s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Omrvinka s.r.o.;0,00;0,00;;;;
Mild Cure One s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Mild Cure One s.r.o.;0,00;0,00;;;;
Mild Cure Six s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Mild Cure Six s.r.o.;0,00;0,00;;;;
Mild Cure Three, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Mild Cure Three, s.r.o.;0,00;0,00;;;;
Mild Cure Four, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Mild Cure Four, s.r.o.;5 020,00;0,00;;5 020,00;;
Mild Cure Five s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Mild Cure Five s.r.o.;0,00;0,00;;;;
Dr.Max.704 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max.704 s.r.o.;0,00;0,00;;;;
Dr.Max 703 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 703 s.r.o.;0,00;0,00;;;;
Lekáreň Bella Donna s. r. o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň Bella Donna s. r. o.;1 500,00;0,00;;1 500,00;;
Dr.Max 134 T, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 134 T, s.r.o.;0,00;0,00;;;;
Dr.Max 602 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 602 s.r.o.;0,00;0,00;;;;
Dr.Max 628 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 628 s.r.o.;0,00;0,00;;;;
Dr.Max 626 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 626 s.r.o.;0,00;0,00;;;;
Dr.Max 630 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 630 s.r.o.;1 500,00;;;1 500,00;;
Dr.Max 623, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 623, s.r.o.;0,00;0,00;;;;
Dr.Max 627 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 627 s.r.o.;0,00;0,00;;;;
Dr.Max 601 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 601 s.r.o.;900,00;;;900,00;;
Dr.Max 616 s. r. o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 616 s. r. o.;0,00;0,00;;;;
Dr.Max 131T, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 131T, s.r.o.;0,00;0,00;;;;
Dr.Max 39 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 39 s.r.o.;0,00;0,00;;;;
Dr.Max 34 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 34 s.r.o.;4 797,39;0,00;;4 797,39;;
Dr.Max 36 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 36 s.r.o.;320,00;;;320,00;;
Dr.Max 38 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 38 s.r.o.;12 000,00;;;12 000,00;;
Dr.Max 33 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 33 s.r.o.;0,00;0,00;;;;
Dr.Max 35 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 35 s.r.o.;0,00;0,00;;;;
Dr.Max 37 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 37 s.r.o.;1 200,00;;;1 200,00;;
Dr.Max 32 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 32 s.r.o.;0,00;0,00;;;;
Dr.Max 31 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 31 s.r.o.;0,00;0,00;;;;
Dr.Max 604 s.ro.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 604 s.ro.;0,00;0,00;;;;
Dr.Max 137 T, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 137 T, s.r.o.;0,00;0,00;;;;
Simedis s.r.o.;Košice - Sever;Košický kraj;Okres Košice I;Simedis s.r.o.;0,00;0,00;;;;
APOTHEKA KOŠICE s.r.o;Košice - Staré Mesto;Košický kraj;Okres Košice I;APOTHEKA KOŠICE s.r.o;0,00;0,00;;;;
Dr.Max 57 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 57 s.r.o.;0,00;0,00;;;;
Dr.Max 65 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 65 s.r.o.;0,00;0,00;;;;
Dr.Max 60 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 60 s.r.o.;0,00;0,00;;;;
Dr.Max 43 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 43 s.r.o.;0,00;0,00;;;;
Dr.Max 44 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 44 s.r.o.;0,00;0,00;;;;
Dr.Max 64 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 64 s.r.o.;1 650,00;0,00;;1 650,00;;
Dr.Max 41 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 41 s.r.o.;0,00;0,00;;;;
Dr.Max 52 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 52 s.r.o.;0,00;0,00;;;;
Dr.Max 50 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 50 s.r.o.;0,00;0,00;;;;
Dr.Max 48 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 48 s.r.o.;0,00;0,00;;;;
Dr.Max 53 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 53 s.r.o.;24 666,00;0,00;;24 666,00;;
Dr.Max 51 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 51 s.r.o.;0,00;0,00;;;;
Dr.Max 56 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 56 s.r.o.;0,00;0,00;;;;
Dr.Max 58 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 58 s.r.o.;0,00;0,00;;;;
Dr.Max 62 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 62 s.r.o.;1 200,00;0,00;;1 200,00;;
Dr.Max 45 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 45 s.r.o.;0,00;0,00;;;;
Dr.Max 61 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 61 s.r.o.;770,00;0,00;;770,00;;
Dr.Max 605 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 605 s.r.o.;0,00;0,00;;;;
Dr.Max 42 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 42 s.r.o.;0,00;0,00;;;;
Dr.Max 46 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 46 s.r.o.;0,00;0,00;;;;
Lekáreň Vitae plus s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Lekáreň Vitae plus s.r.o.;0,00;0,00;;;;
Dr.Max 68 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 68 s.r.o.;0,00;0,00;;;;
Dr.Max 76 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 76 s.r.o.;1 200,00;0,00;;1 200,00;;
Dr.Max 80;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 80;0,00;0,00;;;;
Dr.Max 66 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 66 s.r.o.;0,00;0,00;;;;
Dr. Max 74 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 74 s.r.o.;0,00;0,00;;;;
Dr.Max 79 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 79 s.r.o.;2 400,00;0,00;900,00;1 500,00;;
Dr.Max 69 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 69 s.r.o.;0,00;0,00;;;;
Dr.Max 73 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 73 s.r.o.;0,00;0,00;;;;
Dr.Max 71 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 71 s.r.o.;0,00;0,00;;;;
Dr.Max 78 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 78 s.r.o.;0,00;0,00;;;;
PHARMIG s.r.o;Košice - Šaca;Košický kraj;Okres Košice II;PHARMIG s.r.o;300,00;;;;;
Dr.Max 138 T s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 138 T s.r.o.;0,00;0,00;;;;
Dr.Max 135 T, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 135 T, s.r.o.;0,00;0,00;;;;
Dr.Max 140 T, s.r.o.;Košice - Staré Mesto;Košický kraj;Okres Košice I;Dr.Max 140 T, s.r.o.;0,00;0,00;;;;
Dr.Max 81 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 81 s.r.o.;0,00;0,00;;;;
Dr.Max 82 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 82 s.r.o.;0,00;0,00;;;;
Dr.Max 85 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 85 s.r.o.;0,00;0,00;;;;
Dr.Max 86 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 86 s.r.o.;0,00;0,00;;;;
Dr.Max 87 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 87 s.r.o.;1 280,00;0,00;;1 280,00;;
Dr.Max 90 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 90 s.r.o.;0,00;0,00;;;;
Dr.Max 89 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 89 s.r.o.;600,00;0,00;;600,00;;
Dr.Max 133 T, s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 133 T, s.r.o.;0,00;0,00;;;;
Dr.Max 132 T, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 132 T, s.r.o.;0,00;0,00;;;;
Dr.Max 130 T, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 130 T, s.r.o.;0,00;0,00;;;;
ATONA s.r.o.;Rožňava;Košický kraj;Okres Rožňava;ATONA s.r.o.;0,00;0,00;;;;
Proxamed s.r.o.;Košice - Nad jazerom;Košický kraj;Okres Košice IV;Proxamed s.r.o.;0,00;0,00;;;;
Dr.Max100 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max100 s.r.o.;0,00;0,00;;;;
Dr.Max 98 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 98 s.r.o.;4 500,00;0,00;;4 500,00;;
Dr.Max 91 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 91 s.r.o.;0,00;0,00;;;;
Dr.Max 95 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 95 s.r.o.;0,00;0,00;;;;
Dr.Max 92 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 92 s.r.o.;0,00;0,00;;;;
Dr.Max 94 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 94 s.r.o.;1 613,16;0,00;;;;
Dr.Max 93, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 93, s.r.o.;1 623,60;0,00;;;;
Dr.Max 97 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 97 s.r.o.;0,00;0,00;;;;
DELTAFAR, s.r.o;Jasov;Košický kraj;Okres Košice - okolie;DELTAFAR, s.r.o;0,00;0,00;;;;
Mgr.Peter Prešovský;Parchovany;Košický kraj;Okres Trebišov;Mgr.Peter Prešovský;0,00;0,00;;;;
PharmaBel s.r.o.;Spišské Vlachy;Košický kraj;Okres Spišská Nová Ves;PharmaBel s.r.o.;0,00;0,00;;;;
AK-med, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;AK-med, s.r.o.;0,00;0,00;;;;
PARK CENTRAL, s.r.o.;Košice - Staré Mesto;Košický kraj;Okres Košice I;PARK CENTRAL, s.r.o.;0,00;0,00;;;;
Dr.Max 136 T, s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 136 T, s.r.o.;0,00;0,00;;;;
Dr.Max 113 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 113 s.r.o.;0,00;0,00;;;;
Dr.Max 117 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 117 s.r.o.;2 400,00;0,00;;;;
Dr.Max 115 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 115 s.r.o.;0,00;0,00;;;;
Dr. Max 112 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 112 s.r.o.;17 864,82;0,00;2 125,50;15 739,32;;
Dr.Max 107 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 107 s.r.o.;0,00;0,00;;;;
Dr.Max 101 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 101 s.r.o.;0,00;0,00;;;;
Dr. Max 111 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 111 s.r.o.;0,00;0,00;;;;
Dr. Max 120 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr. Max 120 s.r.o.;0,00;0,00;;;;
Dr.Max 118 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 118 s.r.o.;950,00;0,00;950,00;;;
Dr.Max 119 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 119 s.r.o.;0,00;0,00;;;;
Dr.Max 103 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 103 s.r.o.;15 921,72;0,00;2 681,16;13 240,56;;
Dr.Max 102 s.r.o.;Košice - Západ;Košický kraj;Okres Košice II;Dr.Max 102 s.r.o.;0,00;0,00;;;;
Dr.Max 104 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 104 s.r.o.;749,88;0,00;;;;
Dr.Max 110 s.r.o.;Košice - Juh;Košický kraj;Okres Košice IV;Dr.Max 110 s.r.o.;540,00;0,00;;;;
